weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
2/19/2000,69,Another Dumb Blonde,Hoku,Another Dumb BlondeHoku,1,,69,1
4/29/2000,86,Another Nine Minutes,Yankee Grey,Another Nine MinutesYankee Grey,1,,86,1
10/18/2003,95,Another Postcard (Chimps),Barenaked Ladies,Another Postcard (Chimps)Barenaked Ladies,1,,95,1
11/10/2007,100,Another Side Of You,Joe Nichols,Another Side Of YouJoe Nichols,1,,100,1
6/14/2008,100,Another Try,Josh Turner Featuring Trisha Yearwood,Another TryJosh Turner Featuring Trisha Yearwood,1,,100,1
11/29/2008,81,Another Way to Die,Jack White & Alicia Keys,Another Way to DieJack White & Alicia Keys,1,,81,1
2/9/2002,99,Any Other Night,Sharissa,Any Other NightSharissa,1,,99,1
1/26/2008,91,Anyone Else But You,Michael Cera & Ellen Page,Anyone Else But YouMichael Cera & Ellen Page,1,,91,1
2/12/2005,83,Anything But Mine,Kenny Chesney,Anything But MineKenny Chesney,1,,83,1
12/6/2008,100,Anything Goes,Randy Houser,Anything GoesRandy Houser,1,,100,1
2/23/2002,75,Anything,Jaheim Featuring Next,AnythingJaheim Featuring Next,1,,75,1
2/26/2000,72,Anything,JAY-Z,AnythingJAY-Z,1,,72,1
2/17/2007,99,Anyway,Martina McBride,AnywayMartina McBride,1,,99,1
6/6/2009,66,Apologize,Kris Allen,ApologizeKris Allen,1,,66,1
4/21/2007,95,Apologize,Timbaland Featuring OneRepublic,ApologizeTimbaland Featuring OneRepublic,1,,95,1
12/20/2008,90,Arab Money,Busta Rhymes Featuring Ron Browz,Arab MoneyBusta Rhymes Featuring Ron Browz,1,,90,1
10/5/2002,97,Are We Cuttin',Pastor Troy Featuring Ms. Jade,Are We Cuttin'Pastor Troy Featuring Ms. Jade,1,,97,1
12/20/2003,73,Are You Gonna Be My Girl,Jet,Are You Gonna Be My GirlJet,1,,73,1
5/31/2003,91,Are You Happy Now?,Michelle Branch,Are You Happy Now?Michelle Branch,1,,91,1
7/14/2001,84,Area Codes,Ludacris Featuring Nate Dogg,Area CodesLudacris Featuring Nate Dogg,1,,84,1
2/10/2001,53,Around The World (La La La La La),ATC,Around The World (La La La La La)ATC,1,,53,1
6/4/2005,80,As Good As I Once Was,Toby Keith,As Good As I Once WasToby Keith,1,,80,1
10/27/2007,74,As If,Sara Evans,As IfSara Evans,1,,74,1
7/15/2000,82,As We Lay,Kelly Price,As We LayKelly Price,1,,82,1
6/18/2005,84,ASAP,T.I.,ASAPT.I.,1,,84,1
12/9/2000,74,Ashes By Now,Lee Ann Womack,Ashes By NowLee Ann Womack,1,,74,1
6/18/2005,83,Ass Like That,Eminem,Ass Like ThatEminem,1,,83,1
2/7/2009,67,At Last,Beyonce,At LastBeyonce,1,,67,1
5/26/2001,98,Austin,Blake Shelton,AustinBlake Shelton,1,,98,1
9/12/2009,100,Awake And Alive,Skillet,Awake And AliveSkillet,1,,100,1
11/22/2003,74,Away From Me,Puddle Of Mudd,Away From MePuddle Of Mudd,1,,74,1
7/3/2004,66,Away From The Sun,3 Doors Down,Away From The Sun3 Doors Down,1,,66,1
11/13/2004,72,"Awful, Beautiful Life",Darryl Worley,"Awful, Beautiful LifeDarryl Worley",1,,72,1
3/9/2002,97,Awnaw,Nappy Roots,AwnawNappy Roots,1,,97,1
