weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
8/18/2001,67,Because I Got High,Afroman,Because I Got HighAfroman,1,,67,1
9/3/2005,99,Because Of You,Kelly Clarkson,Because Of YouKelly Clarkson,1,,99,1
3/17/2007,84,Because Of You,Ne-Yo,Because Of YouNe-Yo,1,,84,1
7/14/2007,52,Because Of You,Reba McEntire Duet With Kelly Clarkson,Because Of YouReba McEntire Duet With Kelly Clarkson,1,,52,1
1/29/2000,83,Because You Love Me,Jo Dee Messina,Because You Love MeJo Dee Messina,1,,83,1
8/4/2007,89,Bed,J. Holiday,BedJ. Holiday,1,,89,1
12/12/2009,36,BedRock,Young Money Featuring Lloyd,BedRockYoung Money Featuring Lloyd,1,,36,1
2/19/2000,87,Been There,Clint Black With Steve Wariner,Been ThereClint Black With Steve Wariner,1,,87,1
1/3/2009,97,Beep,Bobby V Featuring Yung Joc,BeepBobby V Featuring Yung Joc,1,,97,1
2/4/2006,93,Beep,The Pussycat Dolls Featuring will.i.am,BeepThe Pussycat Dolls Featuring will.i.am,1,,93,1
5/3/2003,74,Beer For My Horses,Toby Keith Duet With Willie Nelson,Beer For My HorsesToby Keith Duet With Willie Nelson,1,,74,1
2/10/2007,98,Beer In Mexico,Kenny Chesney,Beer In MexicoKenny Chesney,1,,98,1
9/16/2006,92,Before He Cheats,Carrie Underwood,Before He CheatsCarrie Underwood,1,,92,1
7/21/2007,86,Before It's Too Late (Sam And Mikaela's Theme),Goo Goo Dolls,Before It's Too Late (Sam And Mikaela's Theme)Goo Goo Dolls,1,,86,1
5/2/2009,95,Beggin',Madcon,Beggin'Madcon,1,,95,1
3/6/2004,72,Behind Blue Eyes,Limp Bizkit,Behind Blue EyesLimp Bizkit,1,,72,1
4/23/2005,87,Behind These Hazel Eyes,Kelly Clarkson,Behind These Hazel EyesKelly Clarkson,1,,87,1
12/24/2005,97,Believe,Brooks & Dunn,BelieveBrooks & Dunn,1,,97,1
7/12/2008,95,Believe,Staind,BelieveStaind,1,,95,1
8/13/2005,98,Belly Dancer (Bananza),Akon,Belly Dancer (Bananza)Akon,1,,98,1
4/29/2000,60,Bent,matchbox twenty,Bentmatchbox twenty,1,,60,1
4/25/2009,50,Best Days Of Your Life,Kellie Pickler,Best Days Of Your LifeKellie Pickler,1,,50,1
3/11/2006,72,Best Friend,50 Cent & Olivia,Best Friend50 Cent & Olivia,1,,72,1
2/12/2000,65,Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,Best FriendPuff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,1,,65,1
3/3/2001,65,Best I Ever Had (Grey Sky Morning),Vertical Horizon,Best I Ever Had (Grey Sky Morning)Vertical Horizon,1,,65,1
5/23/2009,92,Best I Ever Had,Drake,Best I Ever HadDrake,1,,92,1
9/3/2005,98,Best I Ever Had,Gary Allan,Best I Ever HadGary Allan,1,,98,1
8/12/2006,92,Best Of Both Worlds,Hannah Montana,Best Of Both WorldsHannah Montana,1,,92,1
8/19/2000,97,Best Of Intentions,Travis Tritt,Best Of IntentionsTravis Tritt,1,,97,1
4/15/2000,85,Best Of Me,Mya Featuring Jadakiss,Best Of MeMya Featuring Jadakiss,1,,85,1
5/14/2005,51,Best Of You,Foo Fighters,Best Of YouFoo Fighters,1,,51,1
9/1/2007,66,Bet On It,Zac Efron,Bet On ItZac Efron,1,,66,1
2/18/2006,99,Betcha Can't Do It Like Me,D4L,Betcha Can't Do It Like MeD4L,1,,99,1
4/26/2008,87,Better As A Memory,Kenny Chesney,Better As A MemoryKenny Chesney,1,,87,1
10/8/2005,57,Better Days,Goo Goo Dolls,Better DaysGoo Goo Dolls,1,,57,1
4/26/2008,62,Better In Time,Leona Lewis,Better In TimeLeona Lewis,1,,62,1
9/10/2005,98,Better Life,Keith Urban,Better LifeKeith Urban,1,,98,1
4/8/2000,79,Better Off Alone,Alice Deejay,Better Off AloneAlice Deejay,1,,79,1
3/17/2007,95,Better Than Me,Hinder,Better Than MeHinder,1,,95,1
9/16/2000,85,Between Me And You,Ja Rule Featuring Christina Milian,Between Me And YouJa Rule Featuring Christina Milian,1,,85,1
4/16/2005,25,Beverly Hills,Weezer,Beverly HillsWeezer,1,,25,1
4/12/2003,97,Beware Of The Boys (Mundian To Bach Ke),Panjabi MC Featuring Jay-Z,Beware Of The Boys (Mundian To Bach Ke)Panjabi MC Featuring Jay-Z,1,,97,1
8/25/2001,94,Bia' Bia',"Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte","Bia' Bia'Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte",1,,94,1
10/15/2005,94,Big Blue Note,Toby Keith,Big Blue NoteToby Keith,1,,94,1
10/23/2004,63,Big Chips,R. Kelly & Jay-Z,Big ChipsR. Kelly & Jay-Z,1,,63,1
5/5/2007,41,Big Girls Don't Cry,Fergie,Big Girls Don't CryFergie,1,,41,1
6/27/2009,85,Big Green Tractor,Jason Aldean,Big Green TractorJason Aldean,1,,85,1
9/7/2002,70,Big Machine,Goo Goo Dolls,Big MachineGoo Goo Dolls,1,,70,1
4/22/2000,69,Big Pimpin',Jay-Z Featuring UGK,Big Pimpin'Jay-Z Featuring UGK,1,,69,1
2/22/2003,65,Big Star,Kenny Chesney,Big StarKenny Chesney,1,,65,1
6/9/2007,30,Big Things Poppin' (Do It),T.I.,Big Things Poppin' (Do It)T.I.,1,,30,1
3/29/2003,63,Big Yellow Taxi,Counting Crows Featuring Vanessa Carlton,Big Yellow TaxiCounting Crows Featuring Vanessa Carlton,1,,63,1
8/30/2003,66,Bigger Than My Body,John Mayer,Bigger Than My BodyJohn Mayer,1,,66,1
12/5/2009,94,Bigger,Justin Bieber,BiggerJustin Bieber,1,,94,1
6/7/2008,47,Billie Jean,David Cook,Billie JeanDavid Cook,1,,47,1
10/8/2005,98,Billy's Got His Beer Goggles On,Neal McCoy,Billy's Got His Beer Goggles OnNeal McCoy,1,,98,1
4/25/2009,91,Birthday Sex,Jeremih,Birthday SexJeremih,1,,91,1
4/2/2005,71,Bitches Ain't S**t,Ben Folds,Bitches Ain't S**tBen Folds,1,,71,1
3/17/2001,94,Bizounce,Olivia,BizounceOlivia,1,,94,1
3/25/2006,91,Black Horse & The Cherry Tree,KT Tunstall,Black Horse & The Cherry TreeKT Tunstall,1,,91,1
6/29/2002,77,Black Suits Comin' (Nod Ya Head),Will Smith Featuring Tra-Knox,Black Suits Comin' (Nod Ya Head)Will Smith Featuring Tra-Knox,1,,77,1
3/11/2006,60,Black Sweat,Prince,Black SweatPrince,1,,60,1
1/31/2009,98,Blame It,Jamie Foxx Featuring T-Pain,Blame ItJamie Foxx Featuring T-Pain,1,,98,1
6/2/2007,97,Bleed It Out,Linkin Park,Bleed It OutLinkin Park,1,,97,1
3/1/2008,85,Bleeding Love,Leona Lewis,Bleeding LoveLeona Lewis,1,,85,1
12/18/2004,66,Bless The Broken Road,Rascal Flatts,Bless The Broken RoadRascal Flatts,1,,66,1
1/12/2002,71,Blessed,Martina McBride,BlessedMartina McBride,1,,71,1
1/4/2003,94,Blowin' Me Up (With Her Love),JC Chasez,Blowin' Me Up (With Her Love)JC Chasez,1,,94,1
8/17/2002,99,Blue Jeans,Yasmeen Featuring Ghostface Killah,Blue JeansYasmeen Featuring Ghostface Killah,1,,99,1
10/20/2007,55,Blue Magic,JAY-Z,Blue MagicJAY-Z,1,,55,1
5/7/2005,43,Blue Orchid,The White Stripes,Blue OrchidThe White Stripes,1,,43,1
12/22/2001,72,Blurry,Puddle Of Mudd,BlurryPuddle Of Mudd,1,,72,1
9/19/2009,84,Body Language,Jesse McCartney Featuring T-Pain,Body LanguageJesse McCartney Featuring T-Pain,1,,84,1
6/28/2008,78,Body On Me,Nelly Featuring Ashanti & Akon,Body On MeNelly Featuring Ashanti & Akon,1,,78,1
7/22/2006,91,Bojangles,Pitbull,BojanglesPitbull,1,,91,1
10/10/2009,98,Bonfire,Craig Morgan,BonfireCraig Morgan,1,,98,1
3/28/2009,71,Boom Boom Pow,The Black Eyed Peas,Boom Boom PowThe Black Eyed Peas,1,,71,1
10/29/2005,93,Boondocks,Little Big Town,BoondocksLittle Big Town,1,,93,1
6/13/2009,83,Boots On,Randy Houser,Boots OnRandy Houser,1,,83,1
6/9/2001,66,Bootylicious,Destiny's Child,BootyliciousDestiny's Child,1,,66,1
2/11/2006,62,Bop To The Top,Lucas Grabeel & Ashley Tisdale,Bop To The TopLucas Grabeel & Ashley Tisdale,1,,62,1
10/21/2000,77,Born To Fly,Sara Evans,Born To FlySara Evans,1,,77,1
5/20/2006,93,Bossy,Kelis Featuring Too $hort,BossyKelis Featuring Too $hort,1,,93,1
10/21/2006,88,Boston,Augustana,BostonAugustana,1,,88,1
11/2/2002,76,Bother,Stone Sour,BotherStone Sour,1,,76,1
11/27/2004,71,Boulevard Of Broken Dreams,Green Day,Boulevard Of Broken DreamsGreen Day,1,,71,1
8/19/2000,48,Bounce With Me,Lil Bow Wow Featuring Xscape,Bounce With MeLil Bow Wow Featuring Xscape,1,,48,1
3/6/2004,67,Bounce,Sarah Connor,BounceSarah Connor,1,,67,1
12/15/2001,71,Bouncin' Back (Bumpin' Me Against The Wall),Mystikal,Bouncin' Back (Bumpin' Me Against The Wall)Mystikal,1,,71,1
1/6/2001,93,Bouncing Off The Ceiling (Upside Down),A*Teens,Bouncing Off The Ceiling (Upside Down)A*Teens,1,,93,1
11/25/2000,97,Bow Wow (That's My Name),Lil Bow Wow,Bow Wow (That's My Name)Lil Bow Wow,1,,97,1
4/4/2009,91,Boyfriend #2,Pleasure P,Boyfriend #2Pleasure P,1,,91,1
4/19/2008,94,Boyfriend/Girlfriend,C-Side Featuring Keyshia Cole,Boyfriend/GirlfriendC-Side Featuring Keyshia Cole,1,,94,1
9/24/2005,71,Boyfriend,Ashlee Simpson,BoyfriendAshlee Simpson,1,,71,1
10/12/2002,75,Braid My Hair,Mario,Braid My HairMario,1,,75,1
7/1/2006,100,Brand New Girlfriend,Steve Holy,Brand New GirlfriendSteve Holy,1,,100,1
7/17/2004,96,Break Down Here,Julie Roberts,Break Down HereJulie Roberts,1,,96,1
3/10/2007,72,Break 'Em Off,Paul Wall Featuring Lil' KeKe,Break 'Em OffPaul Wall Featuring Lil' KeKe,1,,72,1
12/9/2006,95,Break It Off,Rihanna & Sean Paul,Break It OffRihanna & Sean Paul,1,,95,1
3/7/2009,95,Break My Heart,Spectacular! Cast,Break My HeartSpectacular! Cast,1,,95,1
3/15/2008,100,Break The Ice,Britney Spears,Break The IceBritney Spears,1,,100,1
7/4/2009,98,Break Up,Mario Featuring Gucci Mane & Sean Garrett,Break UpMario Featuring Gucci Mane & Sean Garrett,1,,98,1
11/10/2001,92,Break Ya Neck,Busta Rhymes,Break Ya NeckBusta Rhymes,1,,92,1
3/15/2003,99,Break You Off,The Roots Featuring Musiq,Break You OffThe Roots Featuring Musiq,1,,99,1
8/28/2004,60,Breakaway,Kelly Clarkson,BreakawayKelly Clarkson,1,,60,1
12/19/2009,96,Breakeven,The Script,BreakevenThe Script,1,,96,1
2/4/2006,86,Breaking Free,"Zac Efron, Andrew Seeley & Vanessa Anne Hudgens","Breaking FreeZac Efron, Andrew Seeley & Vanessa Anne Hudgens",1,,86,1
7/24/2004,74,Breaking The Habit,Linkin Park,Breaking The HabitLinkin Park,1,,74,1
8/9/2008,56,Breakout,Miley Cyrus,BreakoutMiley Cyrus,1,,56,1
9/26/2009,91,Break,Three Days Grace,BreakThree Days Grace,1,,91,1
4/14/2007,97,Breath,Breaking Benjamin,BreathBreaking Benjamin,1,,97,1
4/30/2005,92,Breathe (2 AM),Anna Nalick,Breathe (2 AM)Anna Nalick,1,,92,1
1/22/2000,71,Breathe And Stop,Q-Tip,Breathe And StopQ-Tip,1,,71,1
8/28/2004,64,"Breathe, Stretch, Shake",Mase Featuring P. Diddy,"Breathe, Stretch, ShakeMase Featuring P. Diddy",1,,64,1
3/1/2003,99,Breathe,Blu Cantrell Featuring Sean Paul,BreatheBlu Cantrell Featuring Sean Paul,1,,99,1
9/18/2004,94,Breathe,Fabolous,BreatheFabolous,1,,94,1
11/8/2003,63,Breathe,Michelle Branch,BreatheMichelle Branch,1,,63,1
11/29/2008,87,Breathe,Taylor Swift Featuring Colbie Caillat,BreatheTaylor Swift Featuring Colbie Caillat,1,,87,1
12/28/2002,98,Breathe,Telepopmusik,BreatheTelepopmusik,1,,98,1
1/27/2001,81,Breathless,The Corrs,BreathlessThe Corrs,1,,81,1
11/20/2004,94,Bridging The Gap,Nas Featuring Olu Dara,Bridging The GapNas Featuring Olu Dara,1,,94,1
9/27/2003,73,Bright Lights,matchbox twenty,Bright Lightsmatchbox twenty,1,,73,1
11/27/2004,88,Bring Em Out,T.I.,Bring Em OutT.I.,1,,88,1
6/10/2006,95,Bring It On Home,Little Big Town,Bring It On HomeLittle Big Town,1,,95,1
3/15/2003,64,Bring Me To Life,Evanescence Featuring Paul McCoy,Bring Me To LifeEvanescence Featuring Paul McCoy,1,,64,1
12/8/2001,75,Bring On The Rain,Jo Dee Messina With Tim McGraw,Bring On The RainJo Dee Messina With Tim McGraw,1,,75,1
2/25/2006,100,Bring Out The Freak In You,Lil Rob,Bring Out The Freak In YouLil Rob,1,,100,1
4/22/2000,74,Broadway,Goo Goo Dolls,BroadwayGoo Goo Dolls,1,,74,1
1/25/2003,74,Brokenheartsville,Joe Nichols,BrokenheartsvilleJoe Nichols,1,,74,1
11/8/2008,95,Broken,Lifehouse,BrokenLifehouse,1,,95,1
9/4/2004,58,Broken,Seether Featuring Amy Lee,BrokenSeether Featuring Amy Lee,1,,58,1
11/10/2001,90,Brotha,Angie Stone,BrothaAngie Stone,1,,90,1
6/2/2007,91,Bubbly,Colbie Caillat,BubblyColbie Caillat,1,,91,1
2/10/2007,100,Buddy,Musiq Soulchild,BuddyMusiq Soulchild,1,,100,1
8/5/2006,91,Building Bridges,Brooks & Dunn With Sheryl Crow & Vince Gill,Building BridgesBrooks & Dunn With Sheryl Crow & Vince Gill,1,,91,1
11/30/2002,67,"Bump, Bump, Bump",B2K & P. Diddy,"Bump, Bump, BumpB2K & P. Diddy",1,,67,1
8/17/2002,65,Burnin' Up,"Faith Evans Featuring Missy ""Misdemeanor"" Elliott","Burnin' UpFaith Evans Featuring Missy ""Misdemeanor"" Elliott",1,,65,1
7/12/2008,5,Burnin' Up,Jonas Brothers,Burnin' UpJonas Brothers,1,,5,1
12/2/2000,77,Burn,Jo Dee Messina,BurnJo Dee Messina,1,,77,1
1/19/2002,99,Burn,Mobb Deep Featuring Vita & Noyd,BurnMobb Deep Featuring Vita & Noyd,1,,99,1
3/13/2004,65,Burn,Usher,BurnUsher,1,,65,1
11/7/2009,93,Bust A Move,Glee Cast,Bust A MoveGlee Cast,1,,93,1
4/12/2008,55,Bust It Baby Part 2,Plies Featuring Ne-Yo,Bust It Baby Part 2Plies Featuring Ne-Yo,1,,55,1
10/25/2008,81,Bust Your Windows,Jazmine Sullivan,Bust Your WindowsJazmine Sullivan,1,,81,1
12/23/2000,81,But For The Grace Of God,Keith Urban,But For The Grace Of GodKeith Urban,1,,81,1
11/17/2001,60,Butterflies,Michael Jackson,ButterfliesMichael Jackson,1,,60,1
4/25/2009,72,Butterfly Fly Away,Miley Cyrus & Billy Ray Cyrus,Butterfly Fly AwayMiley Cyrus & Billy Ray Cyrus,1,,72,1
1/6/2001,75,Butterfly,Crazy Town,ButterflyCrazy Town,1,,75,1
5/27/2006,71,Buttons,The Pussycat Dolls Featuring Snoop Dogg,ButtonsThe Pussycat Dolls Featuring Snoop Dogg,1,,71,1
3/11/2000,79,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,Buy Me A RoseKenny Rogers With Alison Krauss & Billy Dean,1,,79,1
3/10/2007,84,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,Buy U A Drank (Shawty Snappin')T-Pain Featuring Yung Joc,1,,84,1
6/21/2008,98,Buzzin',Shwayze Featuring Cisco Adler,Buzzin'Shwayze Featuring Cisco Adler,1,,98,1
6/15/2002,55,By The Way,Red Hot Chili Peppers,By The WayRed Hot Chili Peppers,1,,55,1
1/20/2001,75,By Your Side,Sade,By Your SideSade,1,,75,1
1/29/2000,42,Bye Bye Bye,'N Sync,Bye Bye Bye'N Sync,1,,42,1
5/3/2008,23,Bye Bye,Mariah Carey,Bye ByeMariah Carey,1,,23,1
12/1/2007,97,Calabria 2008,Enur Featuring Natasja,Calabria 2008Enur Featuring Natasja,1,,97,1
7/29/2000,72,Californication,Red Hot Chili Peppers,CalifornicationRed Hot Chili Peppers,1,,72,1
9/2/2006,25,Call Me When You're Sober,Evanescence,Call Me When You're SoberEvanescence,1,,25,1
6/1/2002,67,Call Me,Tweet,Call MeTweet,1,,67,1
8/21/2004,75,Call My Name,Prince,Call My NamePrince,1,,75,1
7/8/2006,73,Call On Me,Janet & Nelly,Call On MeJanet & Nelly,1,,73,1
7/29/2000,83,Callin' Me,Lil' Zane Featuring 112,Callin' MeLil' Zane Featuring 112,1,,83,1
5/24/2003,74,Calling All Angels,Train,Calling All AngelsTrain,1,,74,1
11/5/2005,97,Can I Have It Like That,Pharrell Featuring Gwen Stefani,Can I Have It Like ThatPharrell Featuring Gwen Stefani,1,,97,1
11/8/2008,100,Can I Have This Dance,Zac Efron & Vanessa Hudgens,Can I Have This DanceZac Efron & Vanessa Hudgens,1,,100,1
8/18/2007,100,Can U Believe,Robin Thicke,Can U BelieveRobin Thicke,1,,100,1
10/21/2006,82,Canadian Idiot,"""Weird Al"" Yankovic","Canadian Idiot""Weird Al"" Yankovic",1,,82,1
3/21/2009,93,Candle (Sick And Tired),The White Tie Affair,Candle (Sick And Tired)The White Tie Affair,1,,93,1
2/5/2005,53,Candy Shop,50 Cent Featuring Olivia,Candy Shop50 Cent Featuring Olivia,1,,53,1
1/20/2007,99,Candyman,Christina Aguilera,CandymanChristina Aguilera,1,,99,1
8/16/2008,29,Can't Believe It,T-Pain Featuring Lil Wayne,Can't Believe ItT-Pain Featuring Lil Wayne,1,,29,1
5/5/2001,86,Can't Believe,Faith Evans Featuring Carl Thomas,Can't BelieveFaith Evans Featuring Carl Thomas,1,,86,1
7/21/2001,98,Can't Deny It,Fabolous Featuring Nate Dogg,Can't Deny ItFabolous Featuring Nate Dogg,1,,98,1
9/9/2000,82,Can't Fight The Moonlight,LeAnn Rimes,Can't Fight The MoonlightLeAnn Rimes,1,,82,1
1/26/2002,64,Can't Get You Out Of My Head,Kylie Minogue,Can't Get You Out Of My HeadKylie Minogue,1,,64,1
9/16/2000,90,Can't Go For That,Tamia,Can't Go For ThatTamia,1,,90,1
10/6/2007,99,Can't Help But Wait,Trey Songz,Can't Help But WaitTrey Songz,1,,99,1
8/2/2003,74,Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,Can't Hold Us DownChristina Aguilera Featuring Lil' Kim,1,,74,1
8/4/2007,90,Can't Leave 'Em Alone,Ciara Featuring 50 Cent,Can't Leave 'Em AloneCiara Featuring 50 Cent,1,,90,1
3/18/2006,93,Can't Let Go,Anthony Hamilton,Can't Let GoAnthony Hamilton,1,,93,1
3/8/2003,73,Can't Let You Go,Fabolous Featuring Mike Shorey & Lil' Mo,Can't Let You GoFabolous Featuring Mike Shorey & Lil' Mo,1,,73,1
3/8/2003,98,Can't Nobody,Kelly Rowland,Can't NobodyKelly Rowland,1,,98,1
3/25/2000,84,Can't Stay,Dave Hollister,Can't StayDave Hollister,1,,84,1
2/1/2003,76,Can't Stop Loving You,Phil Collins,Can't Stop Loving YouPhil Collins,1,,76,1
8/9/2003,72,"Can't Stop, Won't Stop",Young Gunz,"Can't Stop, Won't StopYoung Gunz",1,,72,1
2/8/2003,68,Can't Stop,Red Hot Chili Peppers,Can't StopRed Hot Chili Peppers,1,,68,1
6/16/2007,80,Can't Tell Me Nothing,Kanye West,Can't Tell Me NothingKanye West,1,,80,1
9/11/2004,73,Car Wash,Christina Aguilera Featuring Missy Elliott,Car WashChristina Aguilera Featuring Missy Elliott,1,,73,1
10/13/2001,68,Caramel,City High Featuring Eve,CaramelCity High Featuring Eve,1,,68,1
10/17/2009,78,Careful,Paramore,CarefulParamore,1,,78,1
2/21/2009,76,Careless Whisper,Seether,Careless WhisperSeether,1,,76,1
3/4/2000,75,Carlene,Phil Vassar,CarlenePhil Vassar,1,,75,1
12/19/2009,75,Carry Out,Timbaland Featuring Justin Timberlake,Carry OutTimbaland Featuring Justin Timberlake,1,,75,1
8/19/2000,72,Case Of The Ex (Whatcha Gonna Do),Mya,Case Of The Ex (Whatcha Gonna Do)Mya,1,,72,1
8/4/2001,99,Castles In The Sky,Ian Van Dahl Featuring Marsha,Castles In The SkyIan Van Dahl Featuring Marsha,1,,99,1
8/8/2009,89,Catch Me,Demi Lovato,Catch MeDemi Lovato,1,,89,1
4/30/2005,95,Cater 2 U,Destiny's Child,Cater 2 UDestiny's Child,1,,95,1
12/11/2004,76,Caught Up,Usher,Caught UpUsher,1,,76,1
8/22/2009,71,Celebration,Madonna,CelebrationMadonna,1,,71,1
6/14/2003,74,Celebrity,Brad Paisley,CelebrityBrad Paisley,1,,74,1
1/6/2001,97,Cha-Cha Slide,Mr. C The Slide Man,Cha-Cha SlideMr. C The Slide Man,1,,97,1
8/19/2006,69,Chain Hang Low,Jibbs,Chain Hang LowJibbs,1,,69,1
10/31/2009,83,Chances,Five For Fighting,ChancesFive For Fighting,1,,83,1
11/15/2003,54,Change Clothes,JAY-Z,Change ClothesJAY-Z,1,,54,1
11/18/2006,94,Change Me,Ruben Studdard,Change MeRuben Studdard,1,,94,1
2/3/2001,99,Change The Game,"Jay-Z, Beanie Sigel And Memphis Bleek","Change The GameJay-Z, Beanie Sigel And Memphis Bleek",1,,99,1
7/15/2000,75,Change Your Mind,Sister Hazel,Change Your MindSister Hazel,1,,75,1
8/30/2008,10,Change,Taylor Swift,ChangeTaylor Swift,1,,10,1
4/16/2005,97,Chariot,Gavin DeGraw,ChariotGavin DeGraw,1,,97,1
9/4/2004,72,Charlene,Anthony Hamilton,CharleneAnthony Hamilton,1,,72,1
8/6/2005,92,Charlie Last Name: Wilson,Charlie Wilson,Charlie Last Name: WilsonCharlie Wilson,1,,92,1
6/3/2006,54,Chasing Cars,Snow Patrol,Chasing CarsSnow Patrol,1,,54,1
11/8/2008,82,Chasing Pavements,Adele,Chasing PavementsAdele,1,,82,1
5/15/2004,68,Ch-Check It Out,Beastie Boys,Ch-Check It OutBeastie Boys,1,,68,1
1/28/2006,92,Cheatin',Sara Evans,Cheatin'Sara Evans,1,,92,1
10/3/2009,99,Check My Brain,Alice In Chains,Check My BrainAlice In Chains,1,,99,1
11/19/2005,72,Check On It,Beyonce Featuring Slim Thug,Check On ItBeyonce Featuring Slim Thug,1,,72,1
7/26/2008,92,Check Yes Juliet (Run Baby Run),WE the Kings,Check Yes Juliet (Run Baby Run)WE the Kings,1,,92,1
9/30/2006,70,Chemicals React,Aly & AJ,Chemicals ReactAly & AJ,1,,70,1
8/5/2000,98,Cherchez LaGhost,Ghostface Killah,Cherchez LaGhostGhostface Killah,1,,98,1
10/4/2008,60,Chicken Fried,Zac Brown Band,Chicken FriedZac Brown Band,1,,60,1
9/23/2006,92,Chicken Noodle Soup.,Webstar & Young B Featuring The Voice Of Harlem,Chicken Noodle Soup.Webstar & Young B Featuring The Voice Of Harlem,1,,92,1
3/3/2001,97,Chickenhead,Project Pat,ChickenheadProject Pat,1,,97,1
11/1/2003,73,Chicks Dig It,Chris Cagle,Chicks Dig ItChris Cagle,1,,73,1
9/12/2009,99,Chillin,Wale Featuring Lady Gaga,ChillinWale Featuring Lady Gaga,1,,99,1
11/29/2008,34,Chinese Democracy,Guns N' Roses,Chinese DemocracyGuns N' Roses,1,,34,1
2/16/2008,83,Ching-A-Ling,Missy Elliott,Ching-A-LingMissy Elliott,1,,83,1
1/5/2002,76,Chop Suey,System Of A Down,Chop SueySystem Of A Down,1,,76,1
3/8/2003,95,Choppa Style,Choppa Featuring Master P,Choppa StyleChoppa Featuring Master P,1,,95,1
11/1/2008,84,Chopped 'N' Skrewed,T-Pain Featuring Ludacris,Chopped 'N' SkrewedT-Pain Featuring Ludacris,1,,84,1
3/1/2003,74,Chrome,Trace Adkins,ChromeTrace Adkins,1,,74,1
3/10/2007,88,Circle,Marques Houston,CircleMarques Houston,1,,88,1
12/20/2008,3,Circus,Britney Spears,CircusBritney Spears,1,,3,1
1/12/2008,99,Citizen/Soldier,3 Doors Down,Citizen/Soldier3 Doors Down,1,,99,1
10/25/2003,84,Clap Back,Ja Rule,Clap BackJa Rule,1,,84,1
4/30/2005,99,Class Reunion (That Used To Be Us),Lonestar,Class Reunion (That Used To Be Us)Lonestar,1,,99,1
8/3/2002,54,Cleanin' Out My Closet,Eminem,Cleanin' Out My ClosetEminem,1,,54,1
12/8/2007,100,Cleaning This Gun (Come On In Boy),Rodney Atkins,Cleaning This Gun (Come On In Boy)Rodney Atkins,1,,100,1
8/25/2001,73,Clint Eastwood,Gorillaz,Clint EastwoodGorillaz,1,,73,1
2/1/2003,67,Clocks,Coldplay,ClocksColdplay,1,,67,1
8/8/2009,100,Closer To Love,Mat Kearney,Closer To LoveMat Kearney,1,,100,1
5/3/2008,95,Closer,Ne-Yo,CloserNe-Yo,1,,95,1
4/6/2002,99,Closet Freak,Cee-Lo,Closet FreakCee-Lo,1,,99,1
9/1/2007,46,Clothes Off!!,Gym Class Heroes,Clothes Off!!Gym Class Heroes,1,,46,1
9/6/2003,81,Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,ClubbinMarques Houston Featuring Joe Budden & Pied Piper,1,,81,1
10/27/2007,91,Clumsy,Fergie,ClumsyFergie,1,,91,1
11/23/2002,77,Cochise,Audioslave,CochiseAudioslave,1,,77,1
6/28/2008,94,Coconut Juice,Tyga Featuring Travis McCoy,Coconut JuiceTyga Featuring Travis McCoy,1,,94,1
9/15/2007,78,Coffee Shop,Yung Joc Featuring Gorilla Zoe,Coffee ShopYung Joc Featuring Gorilla Zoe,1,,78,1
6/24/2000,80,Cold Day In July,Dixie Chicks,Cold Day In JulyDixie Chicks,1,,80,1
4/3/2004,76,Cold Hard Bitch,Jet,Cold Hard BitchJet,1,,76,1
8/7/2004,95,Cold,Crossfade,ColdCrossfade,1,,95,1
2/12/2005,78,Collide,Howie Day,CollideHowie Day,1,,78,1
9/24/2005,98,Come A Little Closer,Dierks Bentley,Come A Little CloserDierks Bentley,1,,98,1
4/18/2009,63,Come Back To Me,David Cook,Come Back To MeDavid Cook,1,,63,1
9/30/2006,79,Come Back To Me,Vanessa Hudgens,Come Back To MeVanessa Hudgens,1,,79,1
2/28/2004,53,Come Clean,Hilary Duff,Come CleanHilary Duff,1,,53,1
12/21/2002,99,Come Close To Me,Common Featuring Mary J. Blige,Come Close To MeCommon Featuring Mary J. Blige,1,,99,1
12/11/2004,75,Come Home Soon,SHeDAISY,Come Home SoonSHeDAISY,1,,75,1
8/1/2009,80,Come Home,OneRepublic With Sara Bareilles,Come HomeOneRepublic With Sara Bareilles,1,,80,1
